,Zipcode,Zillow_value_per_Zip_x,Unnamed: 0,Zillow_value_per_Zip_y,State,City,Street,Bedroom,Bathroom,Area,PPSq,LotArea,Latitude,Longitude,ListedPrice,PriceTier
134,85224,449872.3668,135,449872.3668,AZ,Chandler,N Chippewa Pl,4,2.5,2275,325.2703297,0.155945822,33.31978,-111.764114,739990,between 701 and 750
135,85224,449872.3668,134,449872.3668,AZ,Chandler,W Palomino Dr,4,4.5,3409,410.3842769,1.1008,33.829777,-112.09097,1399000,between 1.25 and 1.5
136,85225,444004.2773,137,444004.2773,AZ,Chandler,W Folley St,4,2.0,1860,201.0698925,0.164164371,32.937656,-111.725716,373990,between 351 and 400
137,85225,444004.2773,138,444004.2773,AZ,Chandler,S Danyell Dr,3,2.0,1249,344.2754203,0.160996327,33.339924,-111.8646,430000,between 401 and 450
138,85225,444004.2773,139,444004.2773,AZ,Chandler,W Sundance Way,3,2.0,2545,182.7111984,0.180945822,31.532938,-110.26487,465000,between 451 and 500
139,85225,444004.2773,136,444004.2773,AZ,Chandler,S Kingston St,3,2.0,1991,276.2425917,0.177410468,33.345856,-111.86261,549999,between 501 and 550
140,85226,494529.3414,142,494529.3414,AZ,Chandler,W Jupiter Way N,3,2.0,1670,227.5449102,0.126721763,33.59231,-112.38084,380000,between 351 and 400
141,85226,494529.3414,141,494529.3414,AZ,Chandler,W Dublin St,3,2.0,1334,311.0944528,0.16838843,33.59577,-112.10863,415000,between 401 and 450
142,85226,494529.3414,140,494529.3414,AZ,Chandler,N Meadowlark Ln,3,2.5,2313,453.5235625,0.125688705,33.291054,-111.733284,1049000,between a million and 1.25
143,85233,520090.4464,143,520090.4464,AZ,Gilbert,S Oak Ct,4,2.5,3144,184.4767812,0.200918274,33.26226,-111.57066,579995,between 551 and 600
144,85233,520090.4464,144,520090.4464,AZ,Gilbert,E Sagebrush St,4,3.0,3817,314.1210375,0.59,34.45725,-114.31655,1199000,between a million and 1.25
145,85248,559557.5863,150,559557.5863,AZ,Chandler,S Thistle Dr,3,2.0,1190,273.1092437,0.118801653,33.62232,-112.38353,325000,between 301 and 350
146,85248,559557.5863,148,559557.5863,AZ,Sun Lakes,E Regal Dr,3,1.0,1348,289.3175074,0.165610652,33.575325,-112.161644,390000,between 351 and 400
147,85248,559557.5863,149,559557.5863,AZ,Chandler,W Honeysuckle Ln,4,3.0,2817,312.3887114,0.417814509,33.687134,-112.242744,879999,between 851 and 900
148,85248,559557.5863,146,559557.5863,AZ,Chandler,W Champagne Dr,5,2.5,2655,352.165725,0.371671258,33.613144,-111.95715,935000,between 901 and million
149,85248,559557.5863,151,559557.5863,AZ,Sun Lakes,S Eastlake Dr,4,3.0,2385,502.7253669,0.167906336,33.493008,-112.01142,1199000,between a million and 1.25
150,85248,559557.5863,145,559557.5863,AZ,Sun Lakes,E Diamond Dr,4,4.5,3516,483.5039818,1.2386,33.76963,-111.892975,1700000,between 1.51 and 2
