State,City,Street,Zipcode,Bedroom,Bathroom,Area,PPSq,LotArea,Latitude,Longitude,ListedPrice
AZ,Phoenix,N 14th Ave,85023,4,2,2320,202.5431034,0.19,32.434338,-111.2174,469900
AZ,Phoenix,N 15th Pl,85024,3,2,1224,220.5882353,0.26,32.152058,-110.90399,270000
AZ,Phoenix,W Topeka Dr,85027,3,2,1063,206.0206961,0.192745638,31.56351,-110.30145,219000
AZ,Phoenix,N 15th Dr,85027,3,2,1008,347.1230159,0.103236915,33.479965,-112.18014,349900
AZ,Phoenix,W Via Del Sol Dr,85027,5,2,3271,547.0804035,0.38859045,33.491104,-112.0202,1789500
AZ,Phoenix,N 25th St,85028,4,2,2245,438.7082405,0.267653811,33.461422,-111.9204,984900
AZ,Phoenix,E Sunnyside Dr,85028,4,2,1647,434.1226472,0.118089991,33.473553,-111.892525,715000
AZ,Phoenix,W Shaw Butte Dr,85029,4,2,1540,233.7662338,0.15130854,33.521294,-112.12231,360000
AZ,Phoenix,N 25th Ln,85029,5,3.5,3082,389.3251136,0.325091827,33.538563,-112.07063,1199900
AZ,Phoenix,E Presidio Rd,85032,3,2,1822,233.2601537,0.169191919,33.609367,-112.00678,425000
AZ,Phoenix,E Wagoner Rd,85032,3,2,2047,439.6678065,0.23023416,33.579315,-111.89256,900000
AZ,Phoenix,N 82nd Ave,85033,3,2,2077,421.2806933,0.302502296,33.61198,-111.73805,875000
AZ,Phoenix,W La Reata Ave,85035,2,2,1827,175.15052,0.227915519,33.6578,-112.28296,320000
AZ,Phoenix,W Montecito Ave,85037,3,2,1572,263.9949109,0.218089991,33.61471,-112.11784,415000
AZ,Phoenix,E Pueblo Ave,85040,5,2,2129,227.8064819,0.183700643,33.659603,-112.10166,485000
AZ,Phoenix,S 46th St,85040,4,3,3644,439.0776619,0.747291093,33.81941,-111.94823,1599999
AZ,Phoenix,S 16th Dr,85041,4,2,2011,347.5882645,1.1558,33.613564,-112.06189,699000
AZ,Phoenix,S 30th Gln,85041,3,3.5,4288,699.6268657,0.733930211,33.72451,-111.885826,3000000
AZ,Phoenix,E Beth Dr,85042,3,2,2041,477.7070064,0.150803489,33.57214,-111.83298,975000
AZ,Phoenix,S 79th Dr,85043,4,2.5,2083,435.9097456,0.070247934,33.587467,-111.88932,908000
AZ,Phoenix,E Ahwatukee Dr,85044,4,1.75,1620,253.0864198,0.169880624,33.403294,-111.67821,410000
AZ,Phoenix,S Half Moon Dr,85044,2,2.5,1836,626.3616558,0.168503214,33.842525,-111.86422,1150000
AZ,Phoenix,S Reserve Dr,85045,2,1.75,1712,204.4392523,0.208907254,33.658924,-112.34659,350000
AZ,Phoenix,S 6th Ave,85045,2,1.75,1302,318.7403994,0.433884298,33.674164,-112.3372,415000
AZ,Phoenix,E Silverwood Dr,85048,3,2,1482,327.2604588,0.161294766,33.30071,-111.826454,485000
AZ,Phoenix,S Mountain Stone Trl,85048,3,2.5,3166,221.0991788,0.176606979,33.230087,-111.88134,700000
AZ,Phoenix,S 11th Way,85048,4,2.5,2030,221.6256158,0.124655647,33.630703,-112.40694,449900
AZ,Phoenix,E Cat Balue Dr,85050,3,2,1510,993.3774834,3.48,33.2349,-111.57511,1500000
AZ,Phoenix,E Renee Dr,85050,2,2,1540,324.025974,0.185055096,33.35956,-111.45754,499000
AZ,Phoenix,N 27th Dr,85053,3,2.5,1982,272.4520686,0.105716253,33.735016,-112.114655,540000
AZ,Phoenix,W Big Oak St,85085,3,2,2128,399.4360902,0.164302112,33.78715,-111.92506,850000
AZ,Phoenix,N 25th Dr,85085,5,3,2549,205.9238917,0.15094123,33.427547,-112.43372,524900
AZ,Anthem,W Owens Way,85086,5,3.5,3454,202.6635785,0.195615243,33.486645,-112.37141,700000
AZ,Anthem,W Wayne Ln,85086,3,2.5,1886,217.3907741,0.075757576,33.378056,-111.65103,409999
AZ,Phoenix,W Joy Ranch Rd,85086,4,2.75,3233,293.8447263,0.247933884,33.298565,-112.12278,950000
AZ,Phoenix,W Tanya Trl,85086,4,2,1520,256.5131579,0.11365932,33.393604,-112.09288,389900
AZ,Anthem,W Turtle Hill Dr,85086,4,2,1519,243.5813035,0.135651974,33.499386,-112.32495,370000
AZ,Anthem,W Haley Dr,85086,5,3.5,3701,171.5752499,0.180555556,33.693184,-112.31862,635000
AZ,Gold Canyon,S Mashie Ct,85118,5,2.5,2687,189.4305917,0.126721763,33.568043,-112.4522,509000
AZ,Gold Canyon,E Massai Point,85118,5,3,2423,198.101527,0.11365932,33.42677,-112.27789,480000
AZ,Gold Canyon,E Las Mananitas Dr,85118,4,2.5,2654,205.3504145,0.14520202,33.49578,-112.396576,545000
AZ,Apache Junction,N Muleshoe Rd,85119,4,2.25,2043,178.658835,0.19469697,33.49561,-112.11985,365000
AZ,Apache Junction,S Saguaro Dr,85120,4,2.5,2306,227.6669558,0.213039486,33.575817,-112.449036,525000
AZ,Apache Junction,S Palo Verde Dr,85120,3,2,2323,257.8562204,0.235146924,33.67341,-112.63037,599000
AZ,Casa Grande,E Linda Dr,85122,4,4,4152,150.5298651,0.383838384,33.033493,-112.0428,625000
AZ,Casa Grande,E Jaycie Dr,85122,3,2,1812,358.7196468,0.261294766,33.29835,-112.03221,650000
AZ,Casa Grande,E Jaycie Dr,85122,4,3,2614,170.3136955,0.155211203,33.43018,-112.56237,445200
AZ,Casa Grande,E Jaycie Dr,85122,4,2.5,2251,385.8285207,5.34,35.400185,-112.16676,868500
AZ,Casa Grande,E Jaycie Dr,85122,3,3.5,3097,370.5198579,0.277502296,33.50401,-112.50308,1147500
